pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
34,Tpearl1,R,FF,10,84,1173.6,663.4,1098.7,561.2,126.7,19.99,74.9,12.87,glove-side,12.87,102.2,17.55,high,-17.55,DM,,outside,2.800,1
35,Tpearl1,R,FF,10,39,1171.2,665.1,1171.1,691.5,26.4,4.54,0.0,0.01,glove-side,0.01,26.4,4.54,low,4.54,DM,DM,outside,1.300,0
36,Tpearl1,R,FF,10,63,1070.2,647.3,1007.6,707.3,86.8,14.90,62.7,10.76,glove-side,10.76,60.0,10.30,low,10.30,DM,,outside,2.100,0
37,Tpearl1,R,SL,10,73,1197.5,670.6,1217.6,677.2,21.1,3.62,20.1,3.44,arm-side,-3.44,6.6,1.13,low,1.13,DM,DA,outside,2.433,0
38,Tpearl1,R,FF,10,89,1129.8,646.0,1077.6,531.0,126.3,19.99,52.2,8.96,glove-side,8.96,115.0,19.75,high,-19.75,DM,,outside,2.967,1
39,Tpearl1,R,FF,10,57,1164.6,667.8,1131.4,596.8,78.4,13.46,33.2,5.70,glove-side,5.70,71.0,12.20,high,-12.20,DM,UI,outside,1.900,0
40,Tpearl1,R,FF,10,103,1194.8,670.5,1164.0,573.7,101.6,17.45,30.8,5.29,glove-side,5.29,96.9,16.63,high,-16.63,DM,,outside,3.433,0
41,Tpearl1,R,FF,10,108,1189.3,664.8,1168.9,609.3,59.1,10.15,20.5,3.52,glove-side,3.52,55.5,9.52,high,-9.52,DM,UI,outside,3.600,0
42,Tpearl1,R,FF,10,64,1179.0,657.1,1100.2,618.7,87.6,15.05,78.8,13.52,glove-side,13.52,38.4,6.59,high,-6.59,DM,,outside,2.133,0
43,Tpearl1,R,FF,10,81,1165.5,664.5,1050.4,612.4,126.4,19.99,115.2,19.77,glove-side,19.77,52.1,8.95,high,-8.95,DM,,outside,2.700,1
44,Tpearl1,R,FF,10,58,1159.0,656.1,1127.8,747.8,96.9,16.63,31.2,5.35,glove-side,5.35,91.7,15.75,low,15.75,DM,,outside,1.933,0
45,Tpearl1,R,FF,10,83,1164.7,655.4,1167.9,616.5,39.0,6.70,3.2,0.55,arm-side,-0.55,38.9,6.68,high,-6.68,DM,MM,outside,2.767,0
