pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
37,JClark1,R,FF,10,36,705.8,487.5,731.7,475.3,28.6,7.38,25.9,6.67,arm-side,-6.67,12.2,3.15,high,-3.15,DM,MA,outside,1.200
38,JClark1,R,SL,10,36,685.7,490.0,701.5,481.1,18.2,4.69,15.8,4.08,arm-side,-4.08,8.9,2.30,high,-2.30,DM,MA,outside,1.200
39,JClark1,R,FF,10,35,695.9,498.4,677.0,481.3,25.5,6.57,18.9,4.87,glove-side,4.87,17.1,4.41,high,-4.41,DM,MI,outside,1.167
40,JClark1,R,FF,10,35,689.9,500.7,592.3,558.9,113.7,29.27,97.6,25.13,glove-side,25.13,58.3,15.00,low,15.00,DM,,outside,1.167
41,JClark1,R,FF,10,41,695.0,476.2,623.1,557.2,108.2,27.87,71.8,18.50,glove-side,18.50,80.9,20.84,low,20.84,DM,,outside,1.367
42,JClark1,R,FF,10,46,685.6,488.1,651.5,490.6,34.2,8.81,34.1,8.78,glove-side,8.78,2.5,0.65,low,0.65,DM,,outside,1.533
43,JClark1,R,SL,10,42,663.9,477.0,536.7,540.8,142.3,36.64,127.2,32.76,glove-side,32.76,63.7,16.41,low,16.41,DM,,outside,1.400
44,JClark1,R,FF,10,61,675.9,492.9,672.9,559.5,66.7,17.17,2.9,0.76,glove-side,0.76,66.6,17.15,low,17.15,DM,,outside,2.033
45,JClark1,R,FF,10,62,701.5,482.3,682.4,468.9,23.3,6.01,19.1,4.93,glove-side,4.93,13.4,3.44,high,-3.44,DM,MI,outside,2.067
46,JClark1,R,SL,10,42,671.4,471.3,661.4,510.0,39.9,10.28,9.9,2.56,glove-side,2.56,38.7,9.95,low,9.95,DM,,outside,1.400
