pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
36,Slangan1,R,FF,10,72,1180.3,676.1,1228.2,593.1,95.8,16.44,47.8,8.21,arm-side,-8.21,83.0,14.25,high,-14.25,DM,UA,outside,2.400
37,Slangan1,R,SL,10,55,1161.5,635.3,1138.8,640.4,23.2,3.99,22.6,3.89,glove-side,3.89,5.2,0.89,low,0.89,DM,DI,outside,1.833
38,Slangan1,R,FF,10,73,1124.0,629.3,1244.7,537.1,151.8,19.99,120.7,20.72,arm-side,-20.72,92.2,15.82,high,-15.82,DM,,outside,2.433
39,Slangan1,R,FF,10,77,1170.5,593.1,1210.4,596.8,40.1,6.88,39.9,6.85,arm-side,-6.85,3.7,0.64,low,0.64,DM,DA,outside,2.567
40,Slangan1,R,FF,10,65,1176.7,643.6,974.3,622.8,203.5,19.99,202.4,34.75,glove-side,34.75,20.8,3.58,high,-3.58,DM,,outside,2.167
41,Slangan1,R,FF,10,52,1149.7,634.1,1111.5,599.0,51.9,8.91,38.2,6.57,glove-side,6.57,35.1,6.03,high,-6.03,DM,MI,outside,1.733
42,Slangan1,R,FF,10,66,1150.0,660.0,1096.5,545.8,126.1,19.99,53.6,9.20,glove-side,9.20,114.1,19.60,high,-19.60,DM,,outside,2.200
43,Slangan1,R,FF,10,63,1139.0,595.4,1258.3,508.3,147.7,19.99,119.4,20.49,arm-side,-20.49,87.1,14.95,high,-14.95,DM,,outside,2.100
44,Slangan1,R,FF,10,80,1150.5,635.7,991.1,685.8,167.0,19.99,159.4,27.36,glove-side,27.36,50.0,8.59,low,8.59,DM,,outside,2.667
45,Slangan1,R,FF,10,67,1154.7,629.5,1098.4,634.0,56.4,9.68,56.2,9.65,glove-side,9.65,4.5,0.77,low,0.77,DM,,outside,2.233
46,Slangan1,R,SL,10,80,1152.2,637.5,1009.3,676.9,148.2,19.99,142.8,24.52,glove-side,24.52,39.4,6.76,low,6.76,DM,,outside,2.667
47,Slangan1,R,FF,10,77,1143.2,637.4,1101.0,637.3,42.2,7.25,42.2,7.25,glove-side,7.25,0.1,0.01,high,-0.01,DM,DI,outside,2.567
48,Slangan1,R,FF,10,95,1145.3,637.5,1091.6,541.7,109.9,18.86,53.7,9.22,glove-side,9.22,95.8,16.45,high,-16.45,DM,,outside,3.167
49,Slangan1,R,FF,10,66,1145.5,631.7,1175.6,632.2,30.1,5.17,30.1,5.17,arm-side,-5.17,0.5,0.09,low,0.09,DM,DA,outside,2.200
50,Slangan1,R,SL,10,93,1150.4,637.9,1144.4,602.3,36.0,6.19,5.9,1.02,glove-side,1.02,35.5,6.10,high,-6.10,DM,MM,outside,3.100
51,Slangan1,R,FF,10,44,1067.5,590.8,1113.6,538.5,69.7,11.97,46.2,7.92,arm-side,-7.92,52.3,8.98,high,-8.98,DM,UA,outside,1.467
52,Slangan1,R,SL,10,54,1144.1,641.4,1086.1,676.8,68.0,11.67,58.0,9.97,glove-side,9.97,35.4,6.07,low,6.07,DM,,outside,1.800
53,Slangan1,R,FF,10,46,1136.4,631.5,1171.1,517.4,119.3,19.99,34.7,5.96,arm-side,-5.96,114.1,19.59,high,-19.59,DM,,outside,1.533
54,Slangan1,R,FF,10,95,1142.0,603.7,1232.1,513.1,127.8,19.99,90.1,15.47,arm-side,-15.47,90.7,15.56,high,-15.56,DM,,outside,3.167
55,Slangan1,R,FF,10,105,1140.7,599.7,1123.5,724.0,125.5,19.99,17.3,2.97,glove-side,2.97,124.3,21.34,low,21.34,DM,,outside,3.500
56,Slangan1,R,FF,10,102,1151.5,640.8,1158.3,604.1,37.3,6.40,6.8,1.17,arm-side,-1.17,36.6,6.29,high,-6.29,DM,MM,outside,3.400
