pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
36,BBurk1,R,FF,10,90,712.9,471.7,618.6,415.6,109.7,24.99,94.3,24.29,glove-side,24.29,56.1,14.44,high,-14.44,DM,,outside,3.000,1
37,BBurk1,R,SI,10,62,712.4,471.2,652.1,511.7,72.6,18.70,60.3,15.53,glove-side,15.53,40.5,10.42,low,10.42,DM,,outside,2.067,0
38,BBurk1,R,SI,10,42,706.1,471.0,614.3,500.1,96.3,24.80,91.8,23.65,glove-side,23.65,29.0,7.48,low,7.48,DM,,outside,1.400,0
39,BBurk1,R,SI,10,76,712.1,473.3,657.7,460.8,55.8,14.38,54.4,14.01,glove-side,14.01,12.5,3.22,high,-3.22,DM,,outside,2.533,0
40,BBurk1,R,FF,10,52,709.4,473.2,731.1,510.1,42.8,11.02,21.7,5.59,arm-side,-5.59,36.9,9.49,low,9.49,DM,,outside,1.733,0
41,BBurk1,R,FF,10,68,709.9,474.1,651.9,511.7,69.0,17.78,57.9,14.92,glove-side,14.92,37.5,9.66,low,9.66,DM,,outside,2.267,0
42,BBurk1,R,SI,10,78,716.5,475.3,700.6,443.5,35.6,9.16,15.9,4.09,glove-side,4.09,31.8,8.19,high,-8.19,DM,UI,outside,2.600,0
43,BBurk1,R,SI,10,42,709.9,469.2,727.9,485.5,24.2,6.24,17.9,4.62,arm-side,-4.62,16.3,4.19,low,4.19,DM,DA,outside,1.400,0
44,BBurk1,R,SL,10,90,707.5,487.2,753.8,557.2,84.0,21.63,46.3,11.93,arm-side,-11.93,70.0,18.04,low,18.04,DM,,outside,3.000,0
45,BBurk1,R,SI,10,77,714.8,471.5,734.4,409.7,64.9,16.71,19.6,5.05,arm-side,-5.05,61.8,15.92,high,-15.92,DM,,outside,2.567,0
