pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,CDoan1,R,FF,10,48,1076.1,727.0,987.7,727.7,88.4,15.18,88.4,15.18,glove-side,15.18,0.7,0.11,low,0.11,DM,,outside,1.600
2,CDoan1,R,FF,10,48,1065.0,726.6,1047.6,666.9,62.1,10.66,17.4,2.98,glove-side,2.98,59.6,10.23,high,-10.23,DM,UI,outside,1.600
3,CDoan1,R,FF,10,49,1078.1,752.3,1127.2,713.0,63.0,10.81,49.1,8.44,arm-side,-8.44,39.4,6.76,high,-6.76,DM,,outside,1.633
4,CDoan1,R,FF,10,49,1042.3,728.6,1017.4,615.9,115.4,19.82,24.9,4.28,glove-side,4.28,112.7,19.35,high,-19.35,DM,,outside,1.633
5,CDoan1,R,FF,10,42,1058.8,706.8,1114.8,642.5,85.2,14.63,56.0,9.61,arm-side,-9.61,64.2,11.03,high,-11.03,DM,,outside,1.400
6,CDoan1,R,FF,10,40,1083.3,750.9,1125.1,634.9,123.3,19.99,41.9,7.19,arm-side,-7.19,116.0,19.91,high,-19.91,DM,,outside,1.333
7,CDoan1,R,FF,10,53,1063.8,699.1,1175.0,637.5,127.1,19.99,111.2,19.09,arm-side,-19.09,61.6,10.57,high,-10.57,DM,,outside,1.767
8,CDoan1,R,FF,10,83,1059.3,731.2,1099.7,707.5,46.8,8.04,40.4,6.93,arm-side,-6.93,23.7,4.07,high,-4.07,DM,MA,outside,2.767
9,CDoan1,R,FF,10,45,1060.2,711.5,1172.6,586.8,167.9,19.99,112.4,19.30,arm-side,-19.30,124.7,21.41,high,-21.41,DM,,outside,1.500
10,CDoan1,R,SL,10,51,1070.2,721.4,1031.3,724.1,39.0,6.70,38.9,6.68,glove-side,6.68,2.7,0.46,low,0.46,DM,DI,outside,1.700
11,CDoan1,R,SL,10,58,1050.9,716.3,875.4,695.6,176.7,19.99,175.5,30.14,glove-side,30.14,20.7,3.55,high,-3.55,DM,,outside,1.933
12,CDoan1,R,SL,10,49,1085.6,698.2,1069.8,809.5,112.4,19.30,15.8,2.72,glove-side,2.72,111.3,19.11,low,19.11,DM,,outside,1.633
13,CDoan1,R,SL,10,37,972.3,683.8,828.5,743.7,155.8,19.99,143.8,24.69,glove-side,24.69,59.9,10.29,low,10.29,DM,,outside,1.233
14,CDoan1,R,FF,10,55,1069.0,698.4,1155.5,637.4,105.8,18.17,86.5,14.85,arm-side,-14.85,61.0,10.47,high,-10.47,DM,,outside,1.833
15,CDoan1,R,FF,10,49,1063.9,698.3,1069.2,660.6,38.1,6.54,5.3,0.91,arm-side,-0.91,37.7,6.48,high,-6.48,DM,MM,outside,1.633
16,CDoan1,R,SL,10,45,1076.7,735.2,1042.5,673.3,70.7,12.14,34.3,5.89,glove-side,5.89,61.9,10.62,high,-10.62,DM,UI,outside,1.500
17,CDoan1,R,FF,10,44,1060.9,720.4,1061.3,718.4,2.0,0.35,0.4,0.07,arm-side,-0.07,2.0,0.34,high,-0.34,DM,MM,outside,1.467
18,CDoan1,R,SL,10,53,1079.0,714.2,1026.6,791.9,93.7,16.08,52.4,8.99,glove-side,8.99,77.7,13.34,low,13.34,DM,,outside,1.767
19,CDoan1,R,FF,10,44,991.5,719.9,898.1,670.4,105.7,18.15,93.4,16.04,glove-side,16.04,49.5,8.50,high,-8.50,DM,,outside,1.467
20,CDoan1,R,SL,10,44,1051.9,698.1,830.3,711.2,222.0,19.99,221.6,38.05,glove-side,38.05,13.1,2.25,low,2.25,DM,,outside,1.467
21,CDoan1,R,FF,10,49,1046.8,718.2,1053.5,799.4,81.5,13.98,6.7,1.16,arm-side,-1.16,81.2,13.94,low,13.94,DM,,outside,1.633
22,CDoan1,R,FF,10,51,1057.4,727.5,930.6,702.8,129.2,19.99,126.8,21.77,glove-side,21.77,24.7,4.23,high,-4.23,DM,,outside,1.700
23,CDoan1,R,FF,10,58,1057.4,732.2,1073.4,655.6,78.3,13.44,16.0,2.74,arm-side,-2.74,76.6,13.15,high,-13.15,DM,UA,outside,1.933
