pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
37,TPearl1,L,FF,10,40,694.4,492.1,771.6,536.2,88.9,22.90,77.3,19.90,glove-side,19.90,44.1,11.34,low,11.34,DM,,inside,1.333
38,TPearl1,L,CH,10,61,692.7,493.2,646.0,475.0,50.2,12.93,46.8,12.04,arm-side,-12.04,18.2,4.69,high,-4.69,DM,,inside,2.033
39,TPearl1,L,CH,10,36,677.3,492.4,703.5,579.7,91.1,23.46,26.2,6.74,glove-side,6.74,87.2,22.47,low,22.47,DM,,inside,1.200
40,TPearl1,L,FF,10,83,694.5,498.7,646.0,488.7,49.5,12.75,48.5,12.49,arm-side,-12.49,10.0,2.57,high,-2.57,DM,,inside,2.767
41,TPearl1,L,FF,10,81,680.4,494.9,668.4,447.8,48.6,12.50,12.0,3.09,arm-side,-3.09,47.1,12.12,high,-12.12,DM,UA,inside,2.700
42,TPearl1,L,FF,10,79,697.9,483.5,741.9,519.2,56.6,14.58,44.0,11.33,glove-side,11.33,35.6,9.18,low,9.18,DM,,inside,2.633
43,TPearl1,L,FF,10,52,701.3,488.6,778.5,563.2,107.4,27.65,77.2,19.87,glove-side,19.87,74.6,19.22,low,19.22,DM,,inside,1.733
44,TPearl1,L,FF,10,90,704.6,483.9,645.9,481.8,58.7,15.12,58.7,15.11,arm-side,-15.11,2.0,0.52,high,-0.52,DM,,inside,3.000
45,TPearl1,L,FF,10,41,717.5,486.3,748.3,500.3,33.9,8.72,30.8,7.94,glove-side,7.94,14.0,3.61,low,3.61,DM,DI,inside,1.367
46,TPearl1,L,FF,10,57,694.2,477.2,733.9,464.1,41.8,10.75,39.7,10.21,glove-side,10.21,13.1,3.37,high,-3.37,DM,,inside,1.900
47,TPearl1,L,FF,10,55,669.5,481.5,645.5,481.3,24.0,6.18,24.0,6.18,arm-side,-6.18,0.1,0.03,high,-0.03,DM,DA,inside,1.833
48,TPearl1,L,FF,10,54,665.3,474.0,676.6,479.5,12.6,3.25,11.3,2.91,glove-side,2.91,5.5,1.43,low,1.43,DM,DI,inside,1.800
49,TPearl1,L,FF,10,66,682.7,486.6,651.1,387.7,103.8,26.74,31.7,8.15,arm-side,-8.15,98.9,25.46,high,-25.46,DM,,inside,2.200
50,TPearl1,L,FF,10,37,676.4,478.6,729.6,446.2,62.3,16.05,53.2,13.71,glove-side,13.71,32.4,8.35,high,-8.35,DM,,inside,1.233
