pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,CBurrows1,L,FF,10,56,1091.6,647.0,939.0,589.0,163.3,19.99,152.6,26.21,arm-side,-26.21,58.0,9.95,high,-9.95,DM,,inside,1.867,1
2,CBurrows1,L,FF,10,55,1105.8,655.4,1040.9,685.0,71.4,12.25,64.9,11.15,arm-side,-11.15,29.6,5.08,low,5.08,DM,,inside,1.833,0
3,CBurrows1,L,FF,10,64,1159.6,664.4,1084.4,638.8,79.4,13.63,75.2,12.90,arm-side,-12.90,25.6,4.40,high,-4.40,DM,,inside,2.133,0
4,CBurrows1,L,FF,10,44,1155.6,668.3,1197.4,620.2,63.7,10.93,41.8,7.18,glove-side,7.18,48.1,8.25,high,-8.25,DM,UI,inside,1.467,0
5,CBurrows1,L,FF,10,52,1136.8,657.0,1140.5,686.0,29.2,5.02,3.6,0.62,glove-side,0.62,29.0,4.98,low,4.98,DM,DM,inside,1.733,0
6,CBurrows1,L,FF,10,47,1209.8,651.9,1098.9,608.2,119.3,19.99,110.9,19.04,arm-side,-19.04,43.8,7.51,high,-7.51,DM,,inside,1.567,1
7,CBurrows1,L,FF,10,53,1117.4,649.9,1116.1,736.5,86.6,14.86,1.3,0.22,arm-side,-0.22,86.6,14.86,low,14.86,DM,,inside,1.767,0
8,CBurrows1,L,FF,10,40,1133.2,650.9,1028.2,625.8,108.0,18.53,105.0,18.03,arm-side,-18.03,25.1,4.31,high,-4.31,DM,,inside,1.333,0
9,CBurrows1,L,FF,10,83,1156.4,653.9,1154.2,709.5,55.6,9.55,2.2,0.37,arm-side,-0.37,55.6,9.55,low,9.55,DM,,inside,2.767,0
10,CBurrows1,L,FF,10,45,1156.1,652.7,1028.4,640.4,128.3,19.99,127.8,21.93,arm-side,-21.93,12.2,2.10,high,-2.10,DM,,inside,1.500,1
11,CBurrows1,L,FF,10,53,1109.7,644.2,1147.1,677.8,50.2,8.62,37.3,6.41,glove-side,6.41,33.5,5.76,low,5.76,DM,DI,inside,1.767,0
12,CBurrows1,L,CH,10,53,1108.2,652.5,1078.6,647.6,30.0,5.15,29.6,5.08,arm-side,-5.08,4.9,0.84,high,-0.84,DM,MA,inside,1.767,0
13,CBurrows1,L,FF,10,50,1045.0,625.7,961.3,613.0,84.6,14.53,83.7,14.36,arm-side,-14.36,12.7,2.18,high,-2.18,DM,,inside,1.667,0
14,CBurrows1,L,SL,10,43,1167.6,638.0,1132.0,575.4,72.0,12.35,35.5,6.10,arm-side,-6.10,62.6,10.74,high,-10.74,DM,UA,inside,1.433,0
15,CBurrows1,L,FF,10,81,1107.1,640.3,1140.8,697.6,66.5,11.41,33.7,5.79,glove-side,5.79,57.3,9.83,low,9.83,DM,,inside,2.700,0
16,CBurrows1,L,FF,10,85,1099.0,637.2,1140.4,621.3,44.4,7.61,41.4,7.11,glove-side,7.11,15.9,2.73,high,-2.73,DM,MI,inside,2.833,0
17,CBurrows1,L,FF,10,37,1097.8,648.2,1060.2,665.6,41.5,7.12,37.6,6.46,arm-side,-6.46,17.4,2.99,low,2.99,DM,DA,inside,1.233,0
