pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
36,CDoan1,R,SL,10,47,689.0,484.0,634.2,540.1,78.4,20.19,54.8,14.11,glove-side,14.11,56.1,14.44,low,14.44,DM,,outside,1.567,0
37,CDoan1,R,FF,10,58,679.6,479.6,693.9,449.2,33.6,8.64,14.2,3.67,arm-side,-3.67,30.4,7.82,high,-7.82,DM,MA,outside,1.933,0
38,CDoan1,R,FF,10,39,686.9,487.6,693.8,466.0,22.7,5.83,6.9,1.77,arm-side,-1.77,21.6,5.56,high,-5.56,DM,MM,outside,1.300,0
39,CDoan1,R,FF,10,61,687.2,498.6,688.0,469.4,29.2,7.52,0.8,0.21,arm-side,-0.21,29.2,7.52,high,-7.52,DM,MM,outside,2.033,0
40,CDoan1,R,SL,10,53,692.7,497.3,650.6,555.0,71.5,18.40,42.1,10.84,glove-side,10.84,57.7,14.87,low,14.87,DM,,outside,1.767,0
41,CDoan1,R,FF,10,48,680.4,501.3,715.1,515.6,37.5,9.65,34.6,8.92,arm-side,-8.92,14.3,3.68,low,3.68,DM,,outside,1.600,0
42,CDoan1,R,FF,10,81,687.3,500.4,779.2,450.5,104.6,24.99,91.9,23.66,arm-side,-23.66,50.0,12.86,high,-12.86,DM,,outside,2.700,1
43,CDoan1,R,FF,10,59,682.7,501.2,702.5,458.3,47.3,12.17,19.8,5.10,arm-side,-5.10,42.9,11.05,high,-11.05,DM,UA,outside,1.967,0
44,CDoan1,R,SL,10,51,683.3,497.9,523.1,540.3,165.7,24.99,160.2,41.25,glove-side,41.25,42.5,10.93,low,10.93,DM,,outside,1.700,1
45,CDoan1,R,FF,10,58,687.7,496.9,720.5,480.0,36.9,9.50,32.7,8.43,arm-side,-8.43,17.0,4.37,high,-4.37,DM,,outside,1.933,0
46,CDoan1,R,FF,10,53,684.7,501.9,688.3,540.0,38.2,9.84,3.6,0.93,arm-side,-0.93,38.0,9.79,low,9.79,DM,,outside,1.767,0
47,CDoan1,R,SL,10,54,676.4,499.9,488.4,496.4,188.0,24.99,188.0,48.41,glove-side,48.41,3.6,0.92,high,-0.92,DM,,outside,1.800,1
48,CDoan1,R,FF,10,49,694.5,498.3,713.1,475.9,29.1,7.48,18.6,4.79,arm-side,-4.79,22.3,5.75,high,-5.75,DM,MA,outside,1.633,0
49,CDoan1,R,FF,10,58,735.8,481.8,780.5,474.7,45.2,11.64,44.7,11.50,arm-side,-11.50,7.1,1.82,high,-1.82,DM,,outside,1.933,0
50,CDoan1,R,FF,10,43,717.0,487.2,744.9,480.3,28.7,7.38,27.8,7.17,arm-side,-7.17,6.9,1.77,high,-1.77,DM,MA,outside,1.433,0
51,CDoan1,R,FF,10,57,720.8,491.7,798.1,463.0,82.4,21.22,77.2,19.89,arm-side,-19.89,28.7,7.38,high,-7.38,DM,,outside,1.900,0
52,CDoan1,R,FF,10,46,717.1,493.3,693.4,459.7,41.1,10.59,23.8,6.12,glove-side,6.12,33.5,8.64,high,-8.64,DM,UI,outside,1.533,0
53,CDoan1,R,FF,10,52,710.1,485.6,714.0,455.9,30.0,7.71,3.9,1.00,arm-side,-1.00,29.7,7.65,high,-7.65,DM,MM,outside,1.733,0
54,CDoan1,R,FF,10,38,712.5,499.2,786.8,406.5,118.8,24.99,74.3,19.13,arm-side,-19.13,92.7,23.88,high,-23.88,DM,,outside,1.267,1
55,CDoan1,R,FF,10,50,700.0,500.3,704.6,451.7,48.8,12.57,4.6,1.17,arm-side,-1.17,48.6,12.51,high,-12.51,DM,UM,outside,1.667,0
56,CDoan1,R,FF,10,61,690.1,502.1,764.6,489.7,75.6,19.46,74.5,19.19,arm-side,-19.19,12.4,3.20,high,-3.20,DM,,outside,2.033,0
57,CDoan1,R,FF,10,53,689.5,503.8,688.8,532.0,28.2,7.27,0.7,0.19,glove-side,0.19,28.2,7.27,low,7.27,DM,,outside,1.767,0
58,CDoan1,R,FF,10,53,689.3,497.6,723.1,507.6,35.2,9.07,33.8,8.70,arm-side,-8.70,9.9,2.56,low,2.56,DM,,outside,1.767,0
59,CDoan1,R,FF,10,48,686.1,505.2,792.9,467.4,113.4,24.99,106.9,27.53,arm-side,-27.53,37.8,9.74,high,-9.74,DM,,outside,1.600,1
60,CDoan1,R,FF,10,37,691.7,503.3,773.6,489.1,83.2,21.42,82.0,21.10,arm-side,-21.10,14.1,3.64,high,-3.64,DM,,outside,1.233,0
61,CDoan1,R,FF,10,49,697.3,495.9,689.4,523.6,28.7,7.40,7.9,2.03,glove-side,2.03,27.6,7.11,low,7.11,DM,DM,outside,1.633,0
62,CDoan1,R,FF,10,58,696.5,493.1,700.0,438.8,54.5,14.02,3.5,0.90,arm-side,-0.90,54.3,14.00,high,-14.00,DM,UM,outside,1.933,0
63,CDoan1,R,FF,10,45,684.2,490.9,683.7,498.4,7.4,1.91,0.5,0.13,glove-side,0.13,7.4,1.91,low,1.91,DM,DM,outside,1.500,0
64,CDoan1,R,FF,10,64,689.1,504.8,742.2,488.6,55.6,14.32,53.2,13.70,arm-side,-13.70,16.2,4.17,high,-4.17,DM,,outside,2.133,0
65,CDoan1,R,FF,10,51,695.7,490.8,766.4,422.0,98.6,24.99,70.7,18.21,arm-side,-18.21,68.7,17.70,high,-17.70,DM,,outside,1.700,1
66,CDoan1,R,FF,10,46,668.4,484.0,695.5,449.9,43.5,11.20,27.0,6.96,arm-side,-6.96,34.1,8.78,high,-8.78,DM,UA,outside,1.533,0
