pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,GVyse1,R,FF,10,59,707.4,488.4,706.7,447.9,40.5,10.44,0.7,0.18,glove-side,0.18,40.5,10.44,high,-10.44,DM,UM,outside,1.967,0
2,GVyse1,R,SL,10,45,703.3,481.9,603.6,516.6,105.6,24.99,99.7,25.68,glove-side,25.68,34.7,8.95,low,8.95,DM,,outside,1.500,1
3,GVyse1,R,FF,10,107,711.5,493.3,547.7,431.1,175.3,24.99,163.9,42.20,glove-side,42.20,62.2,16.02,high,-16.02,DM,,outside,3.567,1
4,GVyse1,R,SL,10,90,698.0,476.1,674.7,516.9,47.0,12.10,23.3,6.01,glove-side,6.01,40.8,10.50,low,10.50,DM,,outside,3.000,0
5,GVyse1,R,FF,10,98,705.4,481.2,598.5,467.3,107.9,24.99,106.9,27.54,glove-side,27.54,14.0,3.60,high,-3.60,DM,,outside,3.267,1
