pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,JClark1,R,FF,10,38,710.3,375.8,709.5,427.0,51.2,8.78,0.7,0.12,glove-side,0.12,51.1,8.78,low,8.78,DM,,inside,1.267
2,JClark1,R,FF,10,48,706.7,372.7,756.7,386.8,51.9,8.91,50.0,8.58,arm-side,-8.58,14.0,2.41,low,2.41,DM,,inside,1.600
3,JClark1,R,FF,10,42,707.6,372.8,685.2,432.3,63.6,10.92,22.3,3.84,glove-side,3.84,59.5,10.22,low,10.22,DM,,inside,1.400
4,JClark1,R,FF,10,46,708.3,366.0,765.5,342.5,61.8,10.62,57.2,9.82,arm-side,-9.82,23.5,4.04,high,-4.04,DM,,inside,1.533
5,JClark1,R,FF,10,57,709.3,366.8,706.8,432.5,65.8,11.29,2.5,0.42,glove-side,0.42,65.7,11.28,low,11.28,DM,,inside,1.900
6,JClark1,R,FF,10,58,713.1,367.7,767.8,356.4,55.9,9.60,54.7,9.40,arm-side,-9.40,11.3,1.95,high,-1.95,DM,,inside,1.933
7,JClark1,R,FF,10,32,691.6,379.7,651.7,440.1,72.5,12.44,39.9,6.85,glove-side,6.85,60.5,10.38,low,10.38,DM,,inside,1.067
8,JClark1,R,FF,10,43,688.3,371.0,706.2,400.6,34.6,5.93,17.9,3.07,arm-side,-3.07,29.6,5.08,low,5.08,DM,DA,inside,1.433
9,JClark1,R,SL,10,49,671.5,361.8,653.5,394.6,37.4,6.43,18.0,3.09,glove-side,3.09,32.8,5.63,low,5.63,DM,DI,inside,1.633
10,JClark1,R,FF,10,57,634.8,360.1,545.9,455.1,130.1,22.34,88.8,15.25,glove-side,15.25,95.0,16.32,low,16.32,DM,,inside,1.900
11,JClark1,R,FF,10,43,686.0,384.7,516.3,376.8,169.8,29.16,169.6,29.12,glove-side,29.12,7.9,1.36,high,-1.36,DM,,inside,1.433
12,JClark1,R,FF,10,29,698.9,396.2,689.2,397.6,9.8,1.68,9.7,1.67,glove-side,1.67,1.4,0.24,low,0.24,DM,DM,inside,0.967
13,JClark1,R,SL,10,53,688.5,358.7,545.6,369.4,143.3,24.60,142.9,24.53,glove-side,24.53,10.8,1.85,low,1.85,DM,,inside,1.767
