pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
35,Csmith1,L,FF,10,60,1071.1,712.0,1143.5,566.1,162.8,19.99,72.4,12.43,arm-side,-12.43,145.9,25.04,high,-25.04,DM,,outside,2.000,1
36,Csmith1,L,FF,10,74,1070.0,707.8,1164.9,773.0,115.1,19.77,94.9,16.29,arm-side,-16.29,65.2,11.20,low,11.20,DM,,outside,2.467,0
37,Csmith1,L,FF,10,67,1078.2,716.5,1208.2,717.0,130.1,19.99,130.1,22.33,arm-side,-22.33,0.6,0.10,low,0.10,DM,,outside,2.233,1
38,Csmith1,L,FF,10,56,1069.6,742.0,1036.6,737.6,33.3,5.72,33.0,5.67,glove-side,5.67,4.4,0.76,high,-0.76,DM,MI,outside,1.867,0
39,Csmith1,L,FF,10,74,1073.9,743.2,1046.3,701.6,50.0,8.58,27.6,4.74,glove-side,4.74,41.7,7.15,high,-7.15,DM,MI,outside,2.467,0
40,Csmith1,L,SL,10,58,1118.6,740.2,1195.1,866.1,147.4,19.99,76.6,13.15,arm-side,-13.15,125.9,21.61,low,21.61,DM,,outside,1.933,1
41,Csmith1,L,FF,10,39,1069.8,722.4,1098.1,770.1,55.5,9.52,28.3,4.86,arm-side,-4.86,47.7,8.19,low,8.19,DM,,outside,1.300,0
42,Csmith1,L,FF,10,108,1063.1,731.7,1102.6,666.8,75.9,13.03,39.4,6.77,arm-side,-6.77,64.8,11.13,high,-11.13,DM,UA,outside,3.600,0
43,Csmith1,L,FS,10,48,1072.1,734.2,994.7,658.8,108.1,18.56,77.4,13.29,glove-side,13.29,75.5,12.96,high,-12.96,DM,,outside,1.600,0
44,Csmith1,L,FF,10,76,1058.4,727.0,1123.6,539.4,198.7,19.99,65.2,11.20,arm-side,-11.20,187.6,32.22,high,-32.22,DM,,outside,2.533,1
45,Csmith1,L,FF,10,76,1063.7,736.1,1104.1,638.2,105.9,18.18,40.4,6.93,arm-side,-6.93,97.9,16.80,high,-16.80,DM,,outside,2.533,0
46,Csmith1,L,FF,10,94,1051.9,724.7,1137.4,712.6,86.3,14.82,85.5,14.67,arm-side,-14.67,12.1,2.07,high,-2.07,DM,,outside,3.133,0
47,Csmith1,L,CB,10,48,1117.5,724.6,1094.8,615.2,111.6,19.17,22.7,3.89,glove-side,3.89,109.3,18.77,high,-18.77,DM,,outside,1.600,0
48,Csmith1,L,FF,10,40,1069.0,713.7,1129.3,695.5,63.0,10.82,60.4,10.36,arm-side,-10.36,18.2,3.13,high,-3.13,DM,,outside,1.333,0
49,Csmith1,L,FF,10,54,1085.6,719.4,1168.1,759.6,91.8,15.76,82.6,14.18,arm-side,-14.18,40.1,6.89,low,6.89,DM,,outside,1.800,0
50,Csmith1,L,FF,10,39,1071.7,700.2,1102.7,658.6,51.8,8.89,30.9,5.31,arm-side,-5.31,41.6,7.13,high,-7.13,DM,MA,outside,1.300,0
51,Csmith1,L,FF,10,60,1050.1,743.0,1158.5,845.4,149.1,19.99,108.4,18.61,arm-side,-18.61,102.4,17.57,low,17.57,DM,,outside,2.000,1
52,Csmith1,L,FF,10,40,1061.9,736.5,1118.3,748.3,57.6,9.89,56.4,9.68,arm-side,-9.68,11.9,2.04,low,2.04,DM,,outside,1.333,0
53,Csmith1,L,FF,10,34,1146.5,718.8,1139.8,686.2,33.3,5.71,6.7,1.15,glove-side,1.15,32.6,5.60,high,-5.60,DM,MM,outside,1.133,0
54,Csmith1,L,FF,10,63,1054.4,742.0,1139.1,596.3,168.6,19.99,84.7,14.54,arm-side,-14.54,145.8,25.03,high,-25.03,DM,,outside,2.100,1
55,Csmith1,L,FF,10,66,1079.8,764.7,1187.2,647.4,159.0,19.99,107.4,18.44,arm-side,-18.44,117.3,20.13,high,-20.13,DM,,outside,2.200,1
56,Csmith1,L,FF,10,138,1063.8,718.3,1114.5,703.6,52.8,9.07,50.8,8.71,arm-side,-8.71,14.7,2.53,high,-2.53,DM,,outside,4.600,0
57,Csmith1,L,FS,10,66,1083.9,717.5,1017.4,703.3,68.1,11.69,66.6,11.43,glove-side,11.43,14.2,2.44,high,-2.44,DM,,outside,2.200,0
58,Csmith1,L,FF,10,95,1066.8,707.0,1107.4,699.0,41.3,7.10,40.6,6.96,arm-side,-6.96,8.0,1.37,high,-1.37,DM,MA,outside,3.167,0
59,Csmith1,L,FF,10,75,1069.6,726.3,1114.1,731.2,44.8,7.69,44.5,7.64,arm-side,-7.64,4.9,0.84,low,0.84,DM,DA,outside,2.500,0
