pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,JClark1,R,FF,10,87,1193.5,636.1,1103.3,570.1,111.7,19.18,90.2,15.49,glove-side,15.49,65.9,11.32,high,-11.32,DM,,outside,2.900
2,JClark1,R,SL,10,60,1157.0,628.4,1235.2,521.3,132.6,19.99,78.2,13.43,arm-side,-13.43,107.0,18.38,high,-18.38,DM,,outside,2.000
3,JClark1,R,FF,,,,,,,,,,,,,,,,,,,,
4,JClark1,R,FF,,,,,,,,,,,,,,,,,,,,
5,JClark1,R,FF,10,50,1182.5,618.3,1174.4,522.4,96.2,16.51,8.1,1.39,glove-side,1.39,95.8,16.45,high,-16.45,DM,,outside,1.667
6,JClark1,R,SL,10,74,1155.9,593.7,1192.5,674.7,88.9,15.26,36.6,6.29,arm-side,-6.29,81.0,13.90,low,13.90,DM,,outside,2.467
7,JClark1,R,FF,10,67,1206.0,628.4,1128.4,652.7,81.3,13.96,77.6,13.32,glove-side,13.32,24.4,4.18,low,4.18,DM,,outside,2.233
8,JClark1,R,CH,10,44,1258.1,590.2,1219.7,645.1,67.1,11.52,38.5,6.61,glove-side,6.61,55.0,9.43,low,9.43,DM,,outside,1.467
9,JClark1,R,SL,10,65,1152.4,619.1,1062.9,641.1,92.1,15.82,89.4,15.35,glove-side,15.35,22.1,3.79,low,3.79,DM,,outside,2.167
10,JClark1,R,FF,10,44,1188.4,622.7,1139.3,635.0,50.6,8.69,49.1,8.43,glove-side,8.43,12.4,2.12,low,2.12,DM,DI,outside,1.467
11,JClark1,R,SL,10,77,1157.5,604.0,1097.8,589.9,61.4,10.54,59.7,10.25,glove-side,10.25,14.1,2.41,high,-2.41,DM,,outside,2.567
12,JClark1,R,SL,10,81,1152.5,623.9,1141.0,669.0,46.6,7.99,11.5,1.97,glove-side,1.97,45.1,7.75,low,7.75,DM,,outside,2.700
13,JClark1,R,FF,10,75,1211.6,596.2,1094.8,519.8,139.6,19.99,116.8,20.06,glove-side,20.06,76.4,13.11,high,-13.11,DM,,outside,2.500
14,JClark1,R,SL,10,51,1145.5,621.1,1168.4,593.5,35.9,6.16,22.9,3.93,arm-side,-3.93,27.6,4.74,high,-4.74,DM,MA,outside,1.700
15,JClark1,R,FF,10,54,1204.6,632.0,1201.7,580.3,51.7,8.88,2.9,0.50,glove-side,0.50,51.6,8.87,high,-8.87,DM,UM,outside,1.800
16,JClark1,R,FF,10,41,1183.1,616.4,1123.4,698.2,101.3,17.39,59.8,10.26,glove-side,10.26,81.8,14.04,low,14.04,DM,,outside,1.367
17,JClark1,R,FF,10,39,1188.9,587.8,1140.5,579.7,49.1,8.43,48.4,8.31,glove-side,8.31,8.1,1.39,high,-1.39,DM,MI,outside,1.300
18,JClark1,R,SL,10,57,1149.2,623.1,1209.2,618.3,60.2,10.33,60.0,10.30,arm-side,-10.30,4.8,0.83,high,-0.83,DM,,outside,1.900
19,JClark1,R,SL,10,70,1147.6,589.3,1182.1,674.4,91.8,15.76,34.5,5.93,arm-side,-5.93,85.0,14.60,low,14.60,DM,,outside,2.333
20,JClark1,R,FF,10,50,1141.5,586.6,1178.5,596.1,38.2,6.55,37.0,6.35,arm-side,-6.35,9.5,1.63,low,1.63,DM,DA,outside,1.667
21,JClark1,R,SL,10,45,1090.1,583.9,1027.9,667.7,104.4,17.92,62.2,10.68,glove-side,10.68,83.8,14.39,low,14.39,DM,,outside,1.500
22,JClark1,R,SL,10,60,1145.8,613.5,1082.0,671.5,86.3,14.81,63.9,10.96,glove-side,10.96,58.0,9.96,low,9.96,DM,,outside,2.000
23,JClark1,R,FF,10,67,1193.4,611.0,1165.3,602.6,29.4,5.04,28.1,4.83,glove-side,4.83,8.4,1.44,high,-1.44,DM,MI,outside,2.233
24,JClark1,R,SL,10,57,1151.3,621.3,1092.8,685.2,86.6,14.87,58.5,10.05,glove-side,10.05,63.8,10.96,low,10.96,DM,,outside,1.900
25,JClark1,R,FF,10,51,1204.1,637.3,1140.4,723.2,106.9,18.36,63.7,10.93,glove-side,10.93,85.9,14.75,low,14.75,DM,,outside,1.700
26,JClark1,R,SL,10,42,1156.8,631.7,1120.9,666.7,50.1,8.61,35.9,6.16,glove-side,6.16,35.0,6.01,low,6.01,DM,DI,outside,1.400
27,JClark1,R,SL,10,45,1148.6,616.4,1165.9,687.1,72.8,12.50,17.3,2.97,arm-side,-2.97,70.7,12.14,low,12.14,DM,,outside,1.500
28,JClark1,R,SL,10,56,1147.2,617.9,1111.4,583.5,49.7,8.53,35.9,6.16,glove-side,6.16,34.4,5.90,high,-5.90,DM,MI,outside,1.867
29,JClark1,R,SL,10,106,1149.6,615.4,1123.4,634.8,32.6,5.60,26.3,4.51,glove-side,4.51,19.4,3.33,low,3.33,DM,DI,outside,3.533
30,JClark1,R,FF,10,69,1084.2,623.1,1052.7,467.5,158.8,19.99,31.5,5.41,glove-side,5.41,155.6,26.72,high,-26.72,DM,,outside,2.300
31,JClark1,R,SL,10,47,1149.9,620.7,1130.0,552.2,71.3,12.25,19.9,3.41,glove-side,3.41,68.5,11.76,high,-11.76,DM,UI,outside,1.567
32,JClark1,R,FF,10,44,1213.2,624.9,1195.1,615.7,20.3,3.49,18.1,3.11,glove-side,3.11,9.2,1.57,high,-1.57,DM,MI,outside,1.467
33,JClark1,R,FF,10,65,1112.5,594.4,1060.5,630.0,63.0,10.82,52.0,8.92,glove-side,8.92,35.7,6.12,low,6.12,DM,,outside,2.167
34,JClark1,R,FF,10,47,1108.9,607.1,1132.7,587.7,30.7,5.27,23.8,4.08,arm-side,-4.08,19.4,3.33,high,-3.33,DM,MA,outside,1.567
35,JClark1,R,FF,10,39,1115.9,609.2,1119.0,600.5,9.3,1.59,3.1,0.53,arm-side,-0.53,8.8,1.50,high,-1.50,DM,MM,outside,1.300
36,JClark1,R,FF,10,64,1114.9,599.5,1076.8,582.6,41.7,7.16,38.2,6.55,glove-side,6.55,16.9,2.90,high,-2.90,DM,MI,outside,2.133
