pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
51,JFinkelstein1,R,FF,10,83,702.2,469.6,554.7,445.7,149.5,24.99,147.6,38.00,glove-side,38.00,23.9,6.15,high,-6.15,DM,,outside,2.767,1
52,JFinkelstein1,R,FF,10,37,701.9,474.8,740.6,484.9,40.1,10.32,38.8,9.99,arm-side,-9.99,10.1,2.61,low,2.61,DM,,outside,1.233,0
53,JFinkelstein1,R,FF,10,83,710.5,467.1,695.8,500.0,36.0,9.28,14.8,3.80,glove-side,3.80,32.9,8.47,low,8.47,DM,,outside,2.767,0
54,JFinkelstein1,R,FF,10,62,694.6,477.6,724.2,500.7,37.6,9.68,29.6,7.63,arm-side,-7.63,23.1,5.96,low,5.96,DM,DA,outside,2.067,0
55,JFinkelstein1,R,SL,10,58,696.8,469.3,674.1,492.5,32.5,8.36,22.7,5.86,glove-side,5.86,23.2,5.97,low,5.97,DM,DI,outside,1.933,0
56,JFinkelstein1,R,FF,10,96,711.5,471.3,671.4,498.7,48.6,12.51,40.1,10.33,glove-side,10.33,27.4,7.05,low,7.05,DM,,outside,3.200,0
57,JFinkelstein1,R,FF,10,110,714.7,477.1,693.2,493.1,26.8,6.90,21.5,5.53,glove-side,5.53,16.0,4.12,low,4.12,DM,DI,outside,3.667,0
58,JFinkelstein1,R,FF,10,93,710.0,481.9,744.4,451.8,45.8,11.78,34.4,8.87,arm-side,-8.87,30.1,7.76,high,-7.76,DM,,outside,3.100,0
59,JFinkelstein1,R,SL,10,94,669.9,473.8,702.4,458.0,36.1,9.29,32.4,8.35,arm-side,-8.35,15.8,4.08,high,-4.08,DM,,outside,3.133,0
60,JFinkelstein1,R,FF,10,98,646.1,475.9,698.5,422.7,74.7,19.24,52.5,13.51,arm-side,-13.51,53.2,13.71,high,-13.71,DM,,outside,3.267,0
61,JFinkelstein1,R,SL,10,153,700.2,477.8,719.9,521.0,47.5,12.22,19.7,5.07,arm-side,-5.07,43.2,11.12,low,11.12,DM,,outside,5.100,0
62,JFinkelstein1,R,SL,10,131,705.5,479.3,619.9,557.8,116.1,24.99,85.6,22.03,glove-side,22.03,78.5,20.21,low,20.21,DM,,outside,4.367,1
63,JFinkelstein1,R,FF,10,100,713.7,491.7,724.8,478.5,17.3,4.45,11.1,2.85,arm-side,-2.85,13.2,3.41,high,-3.41,DM,MA,outside,3.333,0
64,JFinkelstein1,R,FF,10,66,710.6,486.6,771.1,407.0,99.9,24.99,60.5,15.57,arm-side,-15.57,79.6,20.49,high,-20.49,DM,,outside,2.200,1
65,JFinkelstein1,R,FF,10,88,708.4,481.1,676.3,557.3,82.7,21.29,32.1,8.26,glove-side,8.26,76.2,19.62,low,19.62,DM,,outside,2.933,0
66,JFinkelstein1,R,FF,10,63,708.5,482.3,686.0,532.9,55.4,14.26,22.5,5.79,glove-side,5.79,50.6,13.03,low,13.03,DM,,outside,2.100,0
67,JFinkelstein1,R,FF,10,76,711.9,475.9,675.9,535.6,69.7,17.94,35.9,9.25,glove-side,9.25,59.7,15.37,low,15.37,DM,,outside,2.533,0
68,JFinkelstein1,R,FF,10,97,710.1,479.4,729.7,403.9,78.0,20.10,19.6,5.04,arm-side,-5.04,75.5,19.45,high,-19.45,DM,,outside,3.233,0
69,JFinkelstein1,R,SL,10,87,708.3,471.6,640.5,566.1,116.3,24.99,67.8,17.46,glove-side,17.46,94.5,24.33,low,24.33,DM,,outside,2.900,1
70,JFinkelstein1,R,FF,10,120,708.1,476.2,694.3,482.5,15.2,3.91,13.8,3.56,glove-side,3.56,6.3,1.61,low,1.61,DM,DI,outside,4.000,0
